Node_num	Node_id	Node_type	Node_label	Node_name
0	DB00014	drug	0	Goserelin
1	DB00035	drug	0	Desmopressin
2	DB00050	drug	0	Cetrorelix
3	DB00091	drug	0	Cyclosporine
4	DB00093	drug	0	Felypressin
5	DB00104	drug	0	Octreotide
6	DB00115	drug	0	Cyanocobalamin
7	DB00116	drug	0	Tetrahydrofolic acid
8	DB00117	drug	0	L-Histidine
9	DB00118	drug	0	S-Adenosylmethionine
10	DB00119	drug	0	Pyruvic acid
11	DB00120	drug	0	L-Phenylalanine
12	DB00121	drug	0	Biotin
13	DB00122	drug	0	Choline
14	DB00123	drug	0	L-Lysine
15	DB00125	drug	0	L-Arginine
16	DB00126	drug	0	Vitamin C
17	DB00127	drug	0	Spermine
18	DB00128	drug	0	L-Aspartic Acid
19	DB00129	drug	0	L-Ornithine
20	DB00130	drug	0	L-Glutamine
21	DB00131	drug	0	Adenosine monophosphate
22	DB00132	drug	0	Alpha-Linolenic Acid
23	DB00133	drug	0	L-Serine
24	DB00134	drug	0	L-Methionine
25	DB00135	drug	0	L-Tyrosine
26	DB00136	drug	0	Calcitriol
27	DB00137	drug	0	Xanthophyll
28	DB00138	drug	0	L-Cystine
29	DB00139	drug	0	Succinic acid
30	DB00140	drug	0	Riboflavin
31	DB00141	drug	0	N-Acetyl-D-glucosamine
32	DB00143	drug	0	Glutathione
33	DB00144	drug	0	Phosphatidylserine
34	DB00145	drug	0	Glycine
35	DB00146	drug	0	Calcidiol
36	DB00147	drug	0	Pyridoxal
37	DB00148	drug	0	Creatine
38	DB00149	drug	0	L-Leucine
39	DB00150	drug	0	L-Tryptophan
40	DB00151	drug	0	L-Cysteine
41	DB00152	drug	0	Thiamine
42	DB00153	drug	0	Ergocalciferol
43	DB00154	drug	0	Dihomo-gamma-linolenic acid
44	DB00155	drug	0	L-Citrulline
45	DB00156	drug	0	L-Threonine
46	DB00158	drug	0	Folic Acid
47	DB00159	drug	0	Icosapent
48	DB00160	drug	0	L-Alanine
49	DB00161	drug	0	L-Valine
50	DB00162	drug	0	Vitamin A
51	DB00163	drug	0	Vitamin E
52	DB00165	drug	0	Pyridoxine
53	DB00166	drug	0	Lipoic Acid
54	DB00167	drug	0	L-Isoleucine
55	DB00168	drug	0	Aspartame
56	DB00169	drug	0	Cholecalciferol
57	DB00170	drug	0	Menadione
58	DB00171	drug	0	Adenosine triphosphate
59	DB00172	drug	0	L-Proline
60	DB00173	drug	0	Adenine
61	DB00174	drug	0	L-Asparagine
62	DB00175	drug	0	Pravastatin
63	DB00176	drug	0	Fluvoxamine
64	DB00177	drug	0	Valsartan
