drug	disease	label
850	1647	1
92	1565	1
814	1565	1
529	1561	1
175	1636	1
1076	1665	1
421	1617	1
319	1630	1
719	1653	1
499	1630	1
838	1653	1
669	1565	1
1088	1565	1
746	1630	1
455	1641	1
398	1599	1
78	1688	1
484	1673	1
712	1637	1
518	1611	1
645	1561	1
1480	1650	1
429	1680	1
604	1653	1
635	1582	1
846	1651	1
1112	1565	1
950	1562	1
279	1565	1
429	1599	1
108	1683	1
175	1619	1
1113	1630	1
329	1641	1
719	1638	1
130	1673	1
136	1590	1
876	1565	1
898	1641	1
499	1633	1
407	1630	1
318	1630	1
1078	1679	1
552	1651	1
363	1683	1
436	1636	1
316	1616	1
525	1666	1
91	1590	1
813	1667	1
410	1562	1
918	1617	1
950	1632	1
360	1629	1
823	1632	1
64	1644	1
850	1618	1
101	1554	1
1174	1596	1
1128	1617	1
1026	1630	1
907	1611	1
221	1681	1
846	1673	1
373	1688	1
429	1628	1
719	1630	1
656	1673	1
925	1653	1
147	1630	1
3	1680	1
626	1589	1
947	1644	1
1042	1651	1
823	1649	1
277	1575	1
881	1565	1
495	1630	1
390	1611	1
1015	1565	1
176	1610	1
506	1599	1
505	1644	1
65	1684	1
56	1575	1
1049	1610	1
896	1560	1
950	1610	1
410	1626	1
499	1561	1
429	1610	1
1049	1628	1
1047	1617	1
1479	1630	1
968	1683	1
391	1582	1
710	1619	1
155	1565	1
112	1565	1
1466	1650	1
835	1582	1
791	1688	1
1022	1610	1
364	1565	1
499	1641	1
552	1676	1
515	1633	1
190	1571	1
625	1616	1
384	1635	1
1022	1630	1
826	1620	1
1187	1633	1
110	1665	1
723	1641	1
719	1633	1
637	1644	1
234	1630	1
1480	1619	1
320	1562	1
429	1562	1
625	1599	1
436	1630	1
1475	1628	1
850	1599	1
735	1565	1
320	1616	1
1236	1608	1
316	1630	1
136	1680	1
1049	1573	1
1458	1644	1
276	1614	1
604	1668	1
627	1641	1
65	1565	1
316	1610	1
1092	1619	1
818	1611	1
419	1676	1
1102	1641	1
850	1630	1
407	1573	1
164	1608	1
513	1665	1
494	1658	1
175	1635	1
812	1610	1
1110	1555	1
858	1584	1
212	1596	1
1476	1610	1
214	1683	1
555	1565	1
171	1575	1
128	1630	1
743	1575	1
56	1673	1
635	1597	1
1292	1610	1
484	1667	1
618	1582	1
214	1577	1
850	1632	1
927	1658	1
1111	1633	1
861	1630	1
264	1571	1
604	1633	1
484	1641	1
635	1636	1
728	1611	1
82	1611	1
316	1599	1
3	1676	1
320	1646	1
680	1611	1
823	1625	1
761	1611	1
739	1565	1
559	1593	1
1471	1644	1
384	1599	1
757	1665	1
429	1676	1
635	1649	1
499	1651	1
542	1565	1
710	1616	1
320	1561	1
542	1644	1
272	1676	1
842	1564	1
175	1650	1
416	1589	1
625	1630	1
519	1561	1
407	1632	1
599	1681	1
823	1573	1
224	1653	1
1042	1565	1
893	1630	1
1103	1683	1
82	1565	1
813	1668	1
867	1674	1
148	1637	1
274	1647	1
635	1599	1
243	1630	1
625	1562	1
604	1641	1
858	1630	1
573	1575	1
214	1604	1
297	1565	1
710	1630	1
581	1623	1
819	1644	1
979	1590	1
113	1620	1
158	1617	1
206	1562	1
710	1649	1
64	1565	1
812	1647	1
813	1679	1
635	1630	1
148	1597	1
700	1683	1
1292	1573	1
272	1633	1
1111	1638	1
812	1625	1
972	1683	1
148	1556	1
803	1617	1
384	1636	1
455	1676	1
850	1562	1
197	1617	1
536	1683	1
1078	1680	1
65	1683	1
1092	1650	1
320	1614	1
253	1666	1
1078	1667	1
1241	1632	1
484	1680	1
343	1633	1
635	1561	1
866	1676	1
914	1633	1
1008	1565	1
830	1561	1
552	1680	1
741	1605	1
1074	1599	1
579	1633	1
635	1573	1
892	1630	1
539	1616	1
1045	1683	1
356	1611	1
980	1683	1
1473	1599	1
523	1554	1
162	1633	1
484	1668	1
858	1597	1
1013	1630	1
419	1630	1
812	1656	1
316	1571	1
318	1667	1
925	1641	1
1237	1587	1
848	1679	1
963	1565	1
484	1630	1
171	1561	1
1048	1565	1
813	1641	1
625	1626	1
1101	1610	1
1186	1633	1
1067	1633	1
1343	1561	1
565	1665	1
572	1623	1
436	1584	1
1278	1638	1
838	1641	1
1186	1638	1
64	1683	1
429	1649	1
1425	1587	1
486	1565	1
983	1565	1
850	1582	1
850	1616	1
130	1674	1
823	1619	1
429	1630	1
627	1633	1
881	1683	1
856	1633	1
276	1632	1
661	1565	1
484	1653	1
429	1636	1
493	1565	1
316	1632	1
636	1565	1
644	1655	1
437	1666	1
494	1575	1
877	1651	1
1092	1610	1
840	1630	1
792	1633	1
1049	1630	1
852	1565	1
484	1676	1
812	1629	1
352	1630	1
1049	1561	1
318	1679	1
491	1644	1
429	1679	1
241	1590	1
564	1644	1
1092	1599	1
190	1562	1
859	1610	1
812	1636	1
850	1573	1
801	1610	1
1026	1635	1
429	1651	1
499	1638	1
410	1616	1
850	1614	1
836	1633	1
74	1565	1
297	1593	1
812	1571	1
318	1653	1
830	1575	1
710	1582	1
56	1676	1
813	1633	1
638	1617	1
16	1561	1
656	1674	1
410	1571	1
318	1676	1
67	1633	1
176	1629	1
429	1667	1
144	1575	1
1041	1561	1
197	1666	1
42	1668	1
319	1556	1
1281	1676	1
823	1647	1
150	1565	1
1368	1632	1
1026	1636	1
418	1630	1
1030	1610	1
826	1644	1
175	1556	1
660	1676	1
429	1556	1
585	1593	1
854	1633	1
384	1582	1
0	1561	1
405	1610	1
635	1635	1
1109	1616	1
312	1565	1
1002	1688	1
765	1617	1
812	1597	1
160	1644	1
1078	1633	1
320	1573	1
3	1595	1
1074	1632	1
440	1565	1
1282	1630	1
323	1611	1
176	1630	1
410	1610	1
320	1630	1
458	1565	1
318	1668	1
243	1610	1
740	1565	1
499	1673	1
375	1665	1
1035	1590	1
388	1644	1
821	1565	1
195	1565	1
384	1571	1
1051	1597	1
539	1610	1
950	1561	1
627	1651	1
499	1680	1
893	1610	1
710	1650	1
1062	1610	1
656	1667	1
926	1565	1
1146	1590	1
854	1638	1
946	1668	1
232	1565	1
175	1630	1
1339	1614	1
415	1633	1
1098	1630	1
429	1571	1
954	1688	1
712	1650	1
229	1617	1
542	1683	1
776	1633	1
75	1630	1
525	1565	1
566	1611	1
1067	1673	1
440	1611	1
743	1658	1
448	1565	1
1294	1575	1
813	1653	1
869	1579	1
484	1679	1
1094	1673	1
106	1665	1
319	1599	1
340	1590	1
710	1573	1
559	1644	1
538	1564	1
410	1584	1
1078	1676	1
220	1641	1
719	1641	1
1331	1633	1
317	1623	1
176	1636	1
724	1688	1
429	1668	1
5	1640	1
1308	1610	1
890	1644	1
764	1590	1
318	1628	1
436	1599	1
1393	1561	1
869	1683	1
926	1644	1
923	1556	1
836	1638	1
398	1616	1
172	1611	1
388	1565	1
932	1688	1
1360	1617	1
585	1644	1
310	1653	1
407	1556	1
898	1676	1
877	1676	1
148	1619	1
850	1610	1
947	1620	1
313	1596	1
113	1644	1
1310	1565	1
192	1630	1
1376	1632	1
625	1610	1
169	1683	1
353	1575	1
812	1618	1
325	1608	1
946	1651	1
846	1680	1
1251	1665	1
719	1667	1
1042	1644	1
136	1560	1
929	1617	1
1157	1644	1
231	1617	1
505	1620	1
320	1636	1
823	1635	1
635	1647	1
604	1676	1
712	1619	1
429	1618	1
568	1665	1
850	1629	1
991	1611	1
1055	1611	1
604	1680	1
823	1650	1
140	1590	1
894	1564	1
1078	1641	1
1085	1644	1
867	1673	1
436	1632	1
899	1665	1
367	1665	1
1068	1638	1
917	1683	1
1068	1633	1
290	1683	1
719	1679	1
1019	1617	1
329	1633	1
946	1680	1
1340	1633	1
3	1668	1
1078	1630	1
1118	1633	1
923	1630	1
746	1556	1
1051	1630	1
594	1683	1
499	1596	1
884	1596	1
263	1565	1
343	1638	1
703	1564	1
1174	1587	1
1351	1617	1
331	1565	1
1230	1688	1
201	1599	1
799	1644	1
635	1571	1
205	1666	1
483	1630	1
452	1633	1
26	1676	1
585	1651	1
448	1644	1
499	1676	1
1292	1571	1
843	1610	1
275	1688	1
407	1649	1
649	1596	1
719	1673	1
26	1575	1
885	1673	1
225	1565	1
850	1561	1
934	1611	1
651	1644	1
585	1565	1
892	1560	1
846	1628	1
65	1644	1
1078	1668	1
320	1582	1
429	1635	1
437	1565	1
1092	1616	1
1092	1629	1
1092	1561	1
320	1647	1
318	1680	1
840	1556	1
408	1565	1
0	1610	1
976	1561	1
253	1611	1
885	1630	1
950	1626	1
927	1575	1
1092	1584	1
391	1630	1
848	1668	1
499	1667	1
657	1565	1
276	1646	1
499	1628	1
1481	1683	1
850	1571	1
1391	1590	1
882	1652	1
667	1590	1
680	1617	1
603	1643	1
547	1617	1
419	1588	1
882	1629	1
1423	1561	1
932	1683	1
651	1565	1
42	1575	1
384	1618	1
819	1565	1
759	1565	1
572	1665	1
679	1617	1
243	1599	1
333	1676	1
1078	1653	1
289	1611	1
107	1633	1
667	1651	1
148	1630	1
813	1680	1
454	1565	1
1074	1610	1
379	1608	1
429	1626	1
398	1632	1
846	1674	1
871	1565	1
893	1629	1
849	1617	1
484	1633	1
852	1662	1
607	1633	1
392	1565	1
604	1596	1
1109	1632	1
124	1665	1
656	1668	1
1074	1629	1
564	1565	1
253	1565	1
718	1668	1
719	1596	1
158	1666	1
587	1650	1
384	1656	1
1312	1630	1
823	1582	1
1039	1611	1
318	1673	1
62	1620	1
436	1610	1
850	1636	1
489	1665	1
499	1674	1
71	1673	1
567	1554	1
813	1596	1
730	1633	1
253	1644	1
429	1656	1
100	1565	1
160	1565	1
630	1653	1
491	1620	1
719	1668	1
834	1611	1
719	1680	1
