Node_1	Node_2
6028	10727
6028	11685
6028	9237
6028	14115
6028	13882
6030	14364
6133	8857
6274	8941
6277	15558
6125	8855
6125	15558
6036	8839
6036	11176
6110	10821
6110	10822
6110	10823
6110	10824
6110	10825
6110	10826
6110	10827
6050	13885
6050	10375
6050	11087
6050	11687
6041	17346
6041	8169
6054	11176
6054	12657
6054	13229
6054	9546
6119	8915
6223	10756
6223	10757
6223	10758
6118	8895
6180	8181
6180	10571
6180	10570
6180	8230
6180	19407
6181	9204
6182	9458
6183	9480
6183	9481
6185	9253
6185	8431
6185	22361
6009	9915
6009	13864
6009	17652
6009	13894
6009	13973
6009	11104
6009	17657
6009	17654
6009	21849
6011	12655
6011	11187
6011	13510
6011	12657
6011	11176
6011	12654
6122	8537
6122	8914
6122	17488
6122	13290
6122	20230
6122	17487
6122	20225
6122	20231
6122	20228
6122	20227
6122	21821
6122	20229
6122	17285
6122	21823
6122	21822
6122	20226
6122	19772
6122	8516
6145	13441
6147	9050
6224	10764
6224	8981
6224	10761
6224	8955
6224	10755
6224	21729
6224	8957
6224	10809
6224	10756
6224	10757
6224	10758
6224	10765
6224	10760
6224	8962
6186	8574
6186	8930
6186	8403
6186	8635
6187	9456
6187	17431
6188	9071
6189	8443
6196	8554
6219	11620
6220	10752
6220	8962
6220	10753
6220	12480
6222	14314
6222	20267
6275	15628
6981	9042
6027	9559
6027	13229
6027	9546
6027	12767
6027	11114
6027	11211
6027	11212
6027	9612
6027	11176
6027	13689
6027	13690
6027	13691
6027	13692
6027	8516
6027	11084
6027	13727
6027	14179
6027	14177
6026	13229
6026	11669
6026	12657
6026	11176
6026	11212
6026	13728
6026	12922
6044	12884
6044	12678
6044	12675
6046	15419
6046	12447
6046	11176
6046	12446
6051	11176
6051	12767
6051	9546
6149	15551
6149	15651
6237	11665
6237	10727
6237	14113
6237	13877
6238	10191
6238	10198
6238	10187
6238	10142
6238	10157
6238	10093
6238	10217
6238	10172
6238	10200
6238	10123
6238	10102
6238	10204
6238	17321
6238	10203
6238	10126
6238	10202
6238	10108
6238	10143
6238	10182
6197	8553
6216	13641
6216	11611
6216	21275
6216	21683
6216	9104
6216	17263
6227	12551
6227	12567
7545	14749
6229	16634
6229	16635
6229	16636
6229	14740
6230	16635
6231	14494
6231	12399
6231	12398
6231	12628
6231	22402
6233	12633
6233	21156
6233	11549
6233	12129
6233	12628
6233	12923
6267	19750
6267	15419
6267	19691
6267	12456
6267	12446
6267	18375
6267	20086
6267	15778
6267	12706
6143	8898
6015	11104
6015	11176
6015	12657
6148	8896
6278	15947
6053	13229
6053	11176
6053	11685
6053	11669
6053	12657
6053	15418
6121	18772
6121	9346
6121	10709
6121	10706
6121	8525
6121	14136
6121	10708
6121	10710
6121	10704
6121	8757
6121	10703
6121	10707
6121	8676
6121	12501
6121	14135
6121	10705
6121	15592
6121	15844
6121	12990
6121	9369
6121	14134
6121	9057
6121	12862
6121	11277
6121	15222
6121	19571
6121	15323
6121	19755
6153	8359
6156	8798
6156	21210
6156	20069
6157	15686
6157	17087
6157	16137
6158	11234
6159	13838
6008	12655
6008	13894
6008	17455
6008	13859
6008	13982
6008	13510
6008	11104
6008	11664
6008	14000
6225	12480
6225	12481
6225	12482
6037	13229
6037	10075
6037	11088
6037	11669
6037	12661
6037	9548
6037	9614
6120	8612
6120	8016
6120	19060
6160	8473
6163	8149
6164	8083
6165	8327
6067	12095
6069	13608
6080	9471
6081	9043
6084	11107
6199	9300
6202	9038
6203	9315
6203	9271
6203	9171
6204	9171
6204	9294
6204	8164
6204	9254
6204	8162
6206	16282
6206	12699
6206	16284
6088	12759
6088	12604
6088	11944
6154	12150
6154	12151
6239	14819
6239	14820
6239	14821
6239	13728
6239	14822
6239	14823
6239	14824
6239	14825
6239	14826
6239	17529
6239	14634
6239	14827
6239	14828
6239	14803
6239	14546
6239	14788
6239	11197
6239	14633
6239	16726
6239	14810
6239	16557
6239	17704
6241	17062
6243	11460
6243	11461
6243	11459
6245	11320
6245	13554
6247	17454
6247	17346
6247	11306
6247	20937
6104	10949
6226	13638
6228	11668
6059	13855
6062	11176
6062	12657
6062	11214
6062	11088
6062	11104
6062	12662
6091	10361
6091	11958
6091	11110
6091	11996
6091	11364
6091	11920
6091	16313
6091	16314
6091	16315
6091	11950
6091	11723
6091	11944
6210	8507
6210	12133
6210	11630
6195	8144
6198	8715
6234	14475
6235	19789
6236	8243
6236	21790
6021	13229
6021	11088
6021	13588
6021	9113
6021	14215
6021	12657
6021	11176
6021	11703
6021	11708
6021	11674
6021	11685
6024	11088
6024	11176
6024	12657
6024	12654
6024	16212
6024	15418
6024	9546
6024	11214
6024	11116
6049	11088
6049	12678
6049	8839
6049	12657
6049	11086
6049	18720
6049	11090
6049	11675
6049	9548
6049	11176
6049	12654
6010	11678
6010	11677
6010	13230
6010	13229
6010	14299
6010	13510
6010	14300
6010	13857
6010	14023
6071	11401
7672	12451
6073	11238
6073	22091
6073	13756
6073	8893
6074	19537
6077	8728
6077	8628
6077	9326
6077	9327
6078	9189
6079	8108
6079	8109
6079	8456
6079	8277
6079	16757
6079	8833
6152	12597
6016	11176
6016	12657
6016	11116
6017	11214
6017	14365
6017	11680
6017	15159
6017	13846
6017	13230
6017	13229
6017	11104
6017	11176
6168	20156
6168	15639
6168	20153
6168	20157
6168	20154
6168	20155
6168	20152
6168	20150
6168	20151
6168	15638
6169	8369
6169	8260
6169	9089
6169	9285
6169	9275
6170	8373
6170	22090
6170	10958
6170	8374
6170	17542
6170	16580
6170	22208
6171	13541
6171	14032
6172	11677
6172	12172
6173	9292
6175	8182
6176	9380
6176	13048
6176	8582
6176	12080
6177	9478
6177	9479
6134	8887
6218	18448
6218	8035
6218	8381
6218	8366
6218	8380
6256	10959
6256	21263
6256	8240
6256	21162
6257	16985
6257	8729
6249	13509
6250	11002
6250	13946
6250	11817
6250	13976
6250	12045
6250	11032
6250	11219
6250	18743
6251	17030
6251	8313
6251	17275
6251	14007
6251	18631
6251	18632
6251	14764
6251	16343
6162	17088
6166	9462
6179	16282
6179	16286
6179	16290
6179	16288
6179	16284
6136	8854
6137	8894
6137	15624
6201	9061
6208	8647
6211	18829
6123	8530
6123	14141
6123	20017
6123	20018
6123	14143
6123	20675
6123	19120
6123	12484
6123	20684
6123	14131
6123	18783
6123	20676
6123	8729
6124	9770
6124	9771
6221	10755
7395	18341
6014	11407
6014	12284
6014	13924
6014	11116
6276	16245
6252	10985
6252	14221
6253	11809
6254	11953
6254	11290
6254	12949
6254	13987
6254	13963
6254	13994
6254	13981
6254	19302
6254	11666
6254	13932
6254	11034
6255	21731
6255	11089
6255	13516
6255	22087
6255	17067
6255	11085
6255	11030
6255	13513
6255	21943
6255	11807
6255	10982
6255	11818
6255	21587
6255	22131
6255	9868
6255	12803
6255	18719
6255	11746
6255	21085
6255	18160
6255	22236
6255	13581
6259	8036
6261	19660
6261	19692
6261	19664
6261	18276
6261	18282
6261	19667
6261	19673
6261	19674
6261	18346
6261	18347
6261	19675
6261	18947
6261	21402
6034	14633
6034	13728
6034	13690
6034	13689
6034	11669
6034	13229
6034	11181
6034	8693
6034	11104
6034	11176
6144	8878
6142	8884
6019	11172
6057	17668
6057	17669
6057	11673
6058	13882
6025	21189
6025	11176
6025	13588
6025	9546
6025	9559
6025	14987
6025	11669
6025	13229
6025	13230
6025	13689
6025	12660
6025	12662
6025	11351
6025	12155
6025	11685
6025	11679
6022	11176
6022	12657
6022	11362
6022	18326
6022	11086
6022	18720
6022	11974
6022	11673
6135	8889
6038	13603
6038	11089
6038	8693
6038	8839
6038	11176
6038	11214
6038	11669
6038	11088
6038	11677
6038	9915
6038	20645
6038	9823
6038	10288
6038	14633
6038	13728
6042	14021
6042	14020
6042	14018
6042	17645
6042	14022
6060	13610
6040	10959
6040	11318
6040	13230
6040	16595
6040	11176
6040	14244
6040	17346
6131	8858
6141	15559
6039	11708
6039	13941
6039	13942
6039	10375
6039	13943
6039	13944
6039	13945
6039	10075
6039	13229
6039	13230
6039	11092
6039	13946
6039	13590
6039	9559
6039	11176
6039	12155
6132	9142
6132	8897
6132	14560
6132	8859
6043	12678
6043	18697
6043	11176
6043	12654
6043	12657
6043	11362
6043	11104
6212	18829
6213	21561
6213	21567
6213	21971
6213	17265
6213	8384
6214	17281
6215	8811
6217	11471
6217	11490
6217	11526
6217	11595
6117	10702
6161	12109
6184	9302
6190	16847
6191	8603
6192	8236
6192	8214
6193	8203
6193	8437
6193	9827
6194	8065
6194	17673
6093	14907
6093	10624
6093	10365
6138	15627
6138	16371
6266	12612
6266	18652
6266	18691
6266	16221
6266	12988
6266	19677
6266	14087
6266	19288
6266	15831
6266	14506
6266	19531
6266	20501
6266	10862
6266	19532
6266	19678
6266	21687
6266	19679
6266	19680
6266	18129
6266	8527
6266	16521
6266	14502
6266	18690
6266	19681
6266	19897
6266	17259
6266	10487
6266	21602
6266	13069
6266	8815
6266	18569
6266	15643
6266	19530
6266	21958
6266	15642
6266	15644
6266	15645
6266	15505
6266	18281
6266	21796
6266	12982
6266	13945
6266	22331
6266	9084
6266	9101
6266	19782
6266	21126
6266	12770
6266	8996
6266	9414
6266	16450
6266	12082
6266	22285
6266	8750
6266	8730
6266	22310
6268	18371
6268	12468
6268	12953
6268	18341
6268	12105
6268	19374
6268	9549
6268	21736
6268	19980
6268	18289
6268	14031
6268	12666
6269	19709
6269	21000
6269	18280
6269	15224
6269	18345
6269	15201
6269	18338
6269	18251
6269	18339
6269	22196
6269	15181
6269	9550
6269	15199
6269	18262
6269	21968
6269	20907
6269	18135
6269	21195
6269	18661
6269	18947
6269	12712
6269	15196
6269	12711
6269	16967
6269	22132
6270	11162
6270	19276
6270	22411
6270	16256
6271	13538
6271	21467
6271	8665
6271	14384
6272	16372
6130	8906
6200	16351
6279	14377
6280	14377
6280	13431
6280	11993
6280	11651
6280	18928
6280	16829
6280	11717
6280	11716
6109	10813
6109	10814
6109	10815
6109	8971
6109	8972
6109	8973
6109	10817
6109	10816
6116	13221
6116	19914
6116	13552
7042	12103
7042	19787
7042	10328
7045	8034
7047	13425
7048	18859
6293	14048
6097	12538
6207	16282
6207	16286
6207	16289
6207	16283
6207	12699
6207	16290
6207	16284
6207	16279
6207	16280
6207	16288
6207	16281
6207	16287
6207	16285
6285	14750
6309	15558
6309	15618
6309	15625
6365	11336
6365	11342
6365	11085
6365	20073
6367	18389
6367	20092
6369	8179
6370	13008
6371	9366
6372	21393
6373	13966
6374	12474
6374	13405
6374	13407
6374	9770
6374	9771
6375	15554
6375	8565
6376	11291
6377	13166
6378	13302
6379	19757
6381	19758
6095	12737
6095	11732
6095	12540
6095	11733
6095	12541
6095	12580
6095	10838
6095	22082
6095	11194
6095	11949
6095	9906
6095	13907
6095	21253
7818	8244
6151	8809
6151	8943
6151	15631
6151	15605
6151	14076
6151	15632
6151	15556
6151	15606
6151	9005
6151	21956
6151	9001
6099	9082
6099	14653
6099	14906
6099	14818
6099	8707
6099	12677
6064	11238
6064	11264
6064	12082
6064	12154
6064	12153
6064	13756
6064	16450
6064	19417
6064	13652
6064	18154
6064	14466
6064	19292
6064	10427
6064	14080
6064	21399
6064	13609
6403	11575
6403	16626
6405	11575
6406	8179
6406	8178
6406	14049
6406	13008
6406	13003
6406	13718
6406	13719
6406	17434
6406	13431
6406	7991
6406	8637
6406	17916
6406	13004
7552	13932
6438	19929
6438	8208
6439	10727
6439	11214
6440	12136
6440	8565
6440	14328
6441	15141
6442	14487
6443	15747
6443	15815
6443	19654
6443	19663
6443	17012
7556	11729
6444	14511
6444	19933
6444	14510
6444	18786
6444	20014
6444	14998
6444	19932
6444	19937
6444	19938
6444	19931
6444	21908
6444	21909
6444	14513
6444	21910
6444	19940
6444	19934
6444	21911
6444	19935
6444	22029
6444	22064
6444	19936
6444	19939
6444	22108
6444	21907
6444	20015
6444	14795
6444	21912
6444	22001
6444	20040
6444	14073
6444	22125
6444	22124
6444	22109
6444	22283
6444	14723
6444	14008
6444	20563
6444	22289
6281	15951
6282	15950
6282	13303
7951	13899
6098	11656
6098	15042
6098	11658
6098	11654
6098	12553
6098	12525
6098	12526
6098	12528
6098	14011
6098	16677
6174	8112
6174	8113
6174	14160
6174	8277
6174	18773
6056	11177
6407	22150
6298	12657
6298	11362
6298	18726
6298	13621
6298	17269
6298	19761
6298	13336
6298	11603
6298	11535
6298	11036
6298	20643
6298	9104
6298	13590
6298	17828
6298	13636
6298	13346
6298	11202
6298	16780
6298	19747
6127	8881
6128	8893
6128	15624
6287	14301
6287	11566
6287	14495
6287	15816
6287	16315
6287	13055
6287	13057
6320	17192
6320	17156
