drug	disease	label
1827	7039	1
4558	6019	1
46	6009	1
863	7129	1
569	7092	1
286	7127	1
1827	6012	1
1651	7187	1
705	6291	1
756	6047	1
5228	6298	1
759	6035	1
5711	6021	1
1196	7271	1
1911	6028	1
42	7270	1
391	7265	1
2739	7125	1
5480	6008	1
4716	6045	1
1317	7270	1
1315	7181	1
787	7252	1
403	7265	1
24	7279	1
3084	6011	1
1213	7282	1
4238	7295	1
1461	7176	1
140	7127	1
2720	6086	1
1199	7268	1
712	7268	1
5561	6254	1
1709	7179	1
4380	6128	1
701	6218	1
520	6012	1
2082	7483	1
418	7265	1
739	6492	1
701	7272	1
4672	7218	1
1539	6031	1
2435	6297	1
46	6035	1
580	7269	1
466	6086	1
349	7252	1
143	7218	1
1392	6038	1
3133	7265	1
5080	7256	1
2540	6086	1
1392	6031	1
287	6218	1
3081	7225	1
756	6037	1
195	7265	1
705	7271	1
1651	7279	1
695	7413	1
4425	7138	1
5909	7483	1
216	7200	1
4918	7258	1
2451	6028	1
852	6038	1
4926	6028	1
496	7260	1
2942	6010	1
1255	7295	1
1900	7278	1
703	6280	1
1247	6008	1
4882	7200	1
1244	6017	1
1917	6298	1
1309	7260	1
14	6010	1
350	6064	1
5457	6297	1
419	6609	1
5708	7483	1
5132	6038	1
64	6087	1
18	6086	1
216	6031	1
286	6015	1
3575	6034	1
34	6012	1
1701	6009	1
2091	6017	1
4164	6008	1
973	6008	1
517	6105	1
863	7272	1
774	7125	1
5207	6714	1
1212	6298	1
989	7246	1
1924	6107	1
370	6021	1
2101	7271	1
105	7125	1
449	7127	1
140	7124	1
34	7181	1
523	6017	1
112	7265	1
1499	7265	1
4312	6492	1
3087	6255	1
374	6291	1
1147	7127	1
1260	7270	1
3222	6902	1
381	6298	1
703	7181	1
656	7012	1
694	7278	1
705	6038	1
38	7249	1
1945	7271	1
888	6014	1
382	7265	1
58	6009	1
34	7182	1
441	7125	1
628	6157	1
2409	7182	1
105	6012	1
695	6086	1
812	6012	1
520	7184	1
4922	7261	1
3110	6133	1
1955	7267	1
408	7309	1
701	6012	1
863	7202	1
4575	6038	1
5179	6492	1
911	6037	1
696	7278	1
711	7538	1
759	6009	1
667	6387	1
1708	7284	1
1947	6017	1
5123	6031	1
4433	7413	1
1712	7263	1
696	7272	1
1927	6297	1
34	7215	1
1275	6318	1
695	7126	1
4736	7179	1
5641	7899	1
697	7202	1
286	6883	1
705	7187	1
4764	6020	1
1021	7012	1
1195	7124	1
3901	6018	1
106	6086	1
141	7269	1
1947	6028	1
957	7249	1
103	7012	1
4378	6722	1
5319	7270	1
2317	6298	1
382	6609	1
15	6291	1
396	7265	1
2070	7191	1
233	7125	1
105	7202	1
2402	6297	1
404	7265	1
15	7125	1
34	6030	1
695	6012	1
2382	7183	1
1708	6028	1
5128	7182	1
759	6029	1
445	7127	1
4523	6055	1
4686	7247	1
160	7273	1
1103	6721	1
989	7885	1
293	6609	1
65	7143	1
863	7127	1
828	7179	1
911	6027	1
953	6013	1
834	7271	1
5741	7201	1
973	6018	1
949	7266	1
46	6025	1
4202	7039	1
1061	7265	1
5060	6029	1
1005	7218	1
5075	6010	1
3735	7127	1
5258	7201	1
1080	6038	1
4721	7295	1
5206	6134	1
426	7265	1
1944	7554	1
4600	6021	1
3207	6021	1
3413	7249	1
15	7129	1
3081	6028	1
205	6086	1
5407	7255	1
1650	6280	1
140	7287	1
1229	7271	1
1731	6045	1
2326	7363	1
1700	6029	1
4457	6017	1
3701	7269	1
233	6883	1
3901	6009	1
403	6609	1
5457	6298	1
1932	6025	1
3901	6015	1
1133	6492	1
286	6031	1
5249	7167	1
697	7127	1
1914	6090	1
1283	6021	1
701	6031	1
175	7265	1
234	6255	1
4764	6027	1
696	7181	1
4825	7260	1
5060	6020	1
973	7413	1
1006	7270	1
696	7172	1
4628	7271	1
1411	6017	1
